"cod_101","cod_103","cod_106","cod_204","cod_208","partido","id"
688.571862194567,0,0,314.463499772348,49.3246319623615,"Conservador",1
898.900169204738,0,0,407.148900169205,101.522842639594,"Cambio radical",2
183.695418369542,0,0,0,183.695418369542,"Otro partido",3
827.780307106494,0,0,0,401.47344894665,"Otro partido",4
2485.01681040784,0,0,1218.14549529796,0,"Otro partido",5
861.261622851027,0,0,133.788213258412,187.303498561777,"Cambio radical",6
59.6994558821021,0,0,0,162.177290326982,"Polo",7
272.060092102295,0,0,171.99506310467,176.533821714377,"Otro partido",8
434.966471334501,0,0,0,0,"Conservador",9
206.185567010309,0,0,15.6111929307806,26.5095729013255,"Partido verde",10
0,0,0,188.6080724255,1732.78008298755,"Partido de la U",11
977.610777976793,0,0,0,496.72922669574,"Otro partido",12
208.40487826355,0,0,0,0,"Conservador",13
195.38188277087,0,0,53.2859680284192,67.4955595026643,"Partido verde",14
121.707507675133,0,0,161.177783979905,141.086380128384,"Conservador",15
871.312481106745,0,0,99.1175738392873,18.4931628643064,"Otro partido",16
642.900768266418,0,0,27.8697483043492,19.6084734321258,"Cambio radical",17
1208.07789397764,0,0,0,225.838442120447,"Otro partido",18
669.582250428125,0,0,0,0,"Otro partido",19
634.666132210976,0,167.017403213415,67.3080134950062,0,"Otro partido",20
71.7081674944903,0,0,9.86809644419592,0,"Polo",21
7225.61355425439,0,0,2915.73439641211,1068.2695901333,"Otro partido",22
1455.27887673571,0,0,252.11387789931,186.176402141029,"Cambio radical",23
1691.9655805859,0,0,386.734989848207,290.051242386155,"Cambio radical",24
2002.55292280147,0,0,235.884478390888,910.493133464125,"Cambio radical",25
2408.62573099415,0,0,277.777777777778,1535.08771929825,"Otro partido",26
352.567167033177,0,0,212.783248876566,67.4825509130892,"Otro partido",27
800.846163715679,0,0,442.648190916089,333.818835001283,"Partido de la U",28
552.87267827928,0,0,192.474256568184,192.474256568184,"Partido de la U",29
5015.26384648932,0,0,3738.00697775839,163.541212385521,"Cambio radical",30
988.421688507819,0,0,159.010084279242,96.2147415598967,"Otro partido",31
1211.66930748439,0,233.013328362382,0,410.103457917793,"Otro partido",32
2.71362696168662,0,0,0,0.778032905098962,"Otro partido",33
1579.11359090431,0,0,631.645436361722,74.7447099694705,"Conservador",34
3917.08829769871,0,0,1853.51721886731,197.486535008977,"Conservador",35
123.399033668226,0,0,0,61.3543983434312,"Conservador",36
1186.33343878519,0,0,306.928187282506,37.2508699778551,"Cambio radical",37
0,0,0,623.581126196305,0,"Otro partido",38
1373.98825583241,0,0,827.723873194731,506.983018568481,"Otro partido",39
1103.84273656153,0,0,512.994224788983,0,"Partido de la U",40
1189.90956687292,0,0,594.954783436459,0,"Conservador",41
2790.64599756627,0,0,181.180889900005,1293.05327760436,"Cambio radical",42
1132.75181040158,0,0,770.671494404213,238.643844634628,"Cambio radical",43
0,0,0,20.8869757523102,0,"Partido de la U",44
217.470097861544,0,0,42.3576581904199,224.507132637683,"Cambio radical",45
730.609620667485,0,0,0,67.2160851014086,"Otro partido",46
450.24763619991,0,0,128.570713892641,130.82195207364,"Otro partido",47
3549.52368524077,0,0,666.057679759885,0,"Partido de la U",48
2206.39223349934,0,0,545.294080564836,498.014246989851,"Partido de la U",49
1318.1756389342,0,0,0,0,"Partido verde",50
1405.78526251619,0,0,308.770860321573,82.5283852777566,"Cambio radical",51
0,0,0,8.38579444368414,0,"Cambio radical",52
179.539669070853,0,0,0,0,"Cambio radical",53
280.347631062518,0,0,0,179.515933090365,"Conservador",54
8298.75518672199,0,0,0,72.1630885801912,"Otro partido",55
375.037503750375,0,75.007500750075,122.071107110711,26.7794779477948,"Otro partido",56
189.472886429952,0,0,0,83.3680700291788,"Otro partido",57
222.333250062453,0,0,0,0,"Otro partido",58
221.926320461607,0,0,137.594318686196,0,"Conservador",59
402.669121030833,0,0,0,0,"Conservador",60
2268.4224767746,0,0,270.587174167944,0,"Partido de la U",61
114.757860913473,0,0,5.89922909719316,92.7498278632086,"Partido verde",62
1037.93658207484,0,0,181.638901863096,251.18065286211,"Otro partido",63
3992.14292023673,0,0,2119.95406766187,1040.99019521244,"Partido de la U",64
1211.26054632027,0,0,0,167.070420182107,"Otro partido",65
2325.03088971068,0,0,0,0,"Conservador",66
174.136683901733,0,0,0,140.77611380502,"Otro partido",67
315.827467966071,0,0,90.2364194188775,0,"Partido verde",68
154.004897355736,0,0,30.8009794711472,0,"Polo",69
1054.40047448021,0,0,0,120.267554120399,"Partido de la U",70
205.896237637826,0,184.721826672112,0,254.033486621331,"Conservador",71
1268.1314244853,0,0,306.885558501922,59.5894288353246,"Partido de la U",72
0,565.323082141444,0,113.064616428289,373.113234213353,"Cambio radical",73
2954.13936867183,0,0,952.948183442525,714.115544967242,"Conservador",74
207.986688851913,0,0,176.788685524126,0,"Partido verde",75
2479.52946603621,0,0,836.120401337793,0,"Otro partido",76
540.462387948721,0,0,75.2963937044738,611.755229059664,"Otro partido",77
344.58716844253,0,45.341192473362,0,430.735434141918,"Otro partido",78
1506.79564837417,0,0,56.8453726305638,0,"Otro partido",79
3253.79609544469,0,0,0,94.3600867678959,"Otro partido",80
606.163800442704,0,0,0,350.417163289631,"Partido de la U",81
770.802377414562,0,185.735512630015,473.625557206538,325.037147102526,"Otro partido",82
703.849318826003,0,0,0,272.012434854165,"Otro partido",83
330.473816834887,0,0,13.7697423681203,34.4243559203007,"Otro partido",84
1353.54629128316,0,0,94.7482403898213,153.401913012092,"Conservador",85
515.331100231899,0,0,0,171.777033410633,"Otro partido",86
